,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose,glycerol+aa,lb
b2687,0.000274074464666,0.000225368246502,0.000220020157341,0.000256181039001,0.00025312856161,0.000204953341424,0.000237015511994,0.000155466332348,0.000120815411607
b2688,4.48493158906e-05,4.26634502267e-05,4.33893382492e-05,4.70603378091e-05,3.90564746808e-05,3.69854774001e-05,5.67641707929e-05,4.04278782692e-05,4.17514447966e-05
b2689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2690,6.63815607187e-07,2.39087789359e-06,4.68028327418e-06,2.72183181176e-06,6.54231322592e-07,6.75612934622e-07,5.87104597682e-06,7.25258968508e-06,8.39802230449e-06
b2696,1.01459285797e-05,1.95134274285e-05,1.78113220952e-05,1.48521301354e-05,1.20673577217e-05,1.14818193711e-05,2.31642508909e-05,2.03885270314e-05,2.10082479343e-05
b2697,0.000276663770974,0.00023808753156,0.00035685900521,0.000312987683546,0.000426568714698,0.000341097993951,0.000331507366893,0.000312332240137,0.000366726540827
b2698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2699,0.000126479764766,9.45647519029e-05,0.000133256668894,0.000138912170876,0.000112973277603,0.000129927519232,0.000101897767008,0.000172976481359,0.000139823818431
b2700,4.39073081203e-06,3.43306505166e-06,3.617054259e-06,4.12731292358e-06,3.01399668242e-06,2.84067813356e-06,2.70304266945e-06,3.76291106744e-06,3.13175476841e-06
b2701,2.03116569951e-06,1.27264677898e-06,2.17799624813e-06,1.78166545765e-06,8.74595048663e-07,2.03822842412e-06,2.34021501736e-06,1.42642862029e-06,1.02888730728e-06
b2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2703,7.58943686213e-10,8.2404785547e-08,3.89125606795e-08,6.35327858535e-10,5.6664376572e-10,6.50102925012e-10,1.41740750411e-08,1.56340417784e-07,7.22397097978e-06
b2704,8.93621599453e-08,9.2268899621e-08,2.00034317273e-07,1.03461828941e-07,2.11467589559e-07,2.25488286103e-07,2.23938714258e-07,7.45843628477e-07,8.1503889348e-06
b2705,3.36180013724e-08,4.32731796172e-08,3.81291565754e-08,1.25844057882e-07,0.0,1.01060521019e-07,2.1816858956e-07,0.0,1.17137495279e-05
b2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2707,2.50736799294e-07,5.0408998258e-07,1.17020535809e-06,1.1743473274e-06,2.11686236971e-07,1.97155576292e-07,6.09861348799e-07,3.20153140334e-07,3.49414490702e-07
b2708,2.75001234094e-06,4.23797092146e-06,4.16059742565e-06,4.11444917215e-06,2.73299662256e-06,3.19593179668e-06,3.30613682494e-06,4.17116371796e-06,4.32466484736e-06
b2709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
